grade,name,name_clean,sector,sector_clean,ascents,fos_ratio,recommendations,stars
6b+,Şen dul,,Ottoman,Ottoman,11,82 %,18 %,4
6c+,Çok yoruldum l1,,Michi,Michi,11,55 %,9 %,3
7b+,Anatolic,,Anatolia,Anatolia,11,64 %,0 %,3
5c,Çingene pilici,,Top Alanı,Top Alanı,11,100 %,9 %,5
6a+,Milli Piyango,,Kekik,Geyik,10,90 %,10 %,5
7c,Beam me up Scotty,,Anatolia,Anatolia,10,40 %,0 %,1
7b+,Blonde confusion,,Cesme,Cesme,10,0 %,0 %,4
6c+,N.N.,,Poseidon,Poseidon,10,80 %,0 %,3
8a,Ninova,,Kanyon,Kanyon,10,0 %,20 %,4
7b+,Sword of trebenna,,Trebenna West,Trebenna West,10,50 %,0 %,3
7c,Akumulator,,Trebenna West,Trebenna West,10,10 %,0 %,4
8c,Drop City,,Sarkit,Sarkit,10,10 %,10 %,4
6a,Schaufel St. Führe,,Gizlibahce,Gizlibahce,10,60 %,20 %,4
7a+,Geyikbayiri Jazz band,,Sarkit,Sarkit,10,50 %,10 %,3
7a,N.N.,,Mevlana,Mevlana,10,80 %,0 %,3
7a+,Bok bocegi,,Kanyon,Kanyon,10,50 %,10 %,3
6a+,Peri Bacasi,,Küllüin,Küllüin,10,90 %,10 %,4
6a+,Sabatik trip,,Pasa,Pasa,10,90 %,10 %,4
6b+,Stalactosaurus,,Alabalik balkon 4,Alabalik,10,70 %,30 %,4
7c,Poison,,Kanyon,Kanyon,10,30 %,10 %,4
7a,N.N.,,Sarkit,Sarkit,10,70 %,0 %,1
5a,Deep troat,,Sincap,Sincap,10,90 %,0 %,3
5c,Cok Guzel,,Koridor,Koridor,10,100 %,0 %,4
5b,Mektep,,Gizlibahce,Gizlibahce,10,80 %,20 %,3
7b+,Life is what you choose extension,,Unknown Sector,Unknown Sector,10,40 %,30 %,4
7b+,So Long Beauty,,Ottoman,Ottoman,10,50 %,0 %,3
6c,Tenten Konglomerada,,Mevlana,Mevlana,10,50 %,0 %,2
3b,N.N.,,Cesme,Cesme,10,20 %,0 %,5
7a,Terazi lastik jimnaatik,,Trebenna West,Trebenna West,10,90 %,0 %,1
7a,Sakiznime,,Trebena,Trebenna West,10,70 %,0 %,4
7a+,Cerofobi,,Koridor,Koridor,10,60 %,0 %,3
7a+,Wild Horses,,Michi,Michi,10,60 %,10 %,4
6c,Gozleme Station,,Teras Left,Teras Left,10,40 %,20 %,3
6c,Fanta 4,,Sincap,Sincap,10,10 %,20 %,4
5c,Just in time,,Mandela,Mandela,10,90 %,10 %,3
6a+,14/18,,Poseidon,Poseidon,10,100 %,10 %,2
7a,Fa fa fa,,Sarkit,Sarkit,10,80 %,20 %,4
6a,Drama Queen,,Sarkit,Sarkit,10,100 %,10 %,4
8a+,Mustang,,Koridor,Koridor,10,10 %,20 %,4
